Nodes: 1 | Threads: 1 | Size: 100000000 | Payload: 256 | Time: 14.0324
Nodes: 2 | Threads: 8 | Size: 20000000 | Payload: 1 | Time: 4.3759
Nodes: 4 | Threads: 8 | Size: 20000000 | Payload: 1 | Time: 4.4441
Nodes: 8 | Threads: 8 | Size: 20000000 | Payload: 1 | Time: 4.4884
Nodes: 2 | Threads: 16 | Size: 20000000 | Payload: 1 | Time: 4.4539
Nodes: 4 | Threads: 16 | Size: 20000000 | Payload: 1 | Time: 4.5565
Nodes: 8 | Threads: 16 | Size: 20000000 | Payload: 1 | Time: 4.5115
Nodes: 2 | Threads: 32 | Size: 20000000 | Payload: 1 | Time: 4.6036
Nodes: 4 | Threads: 32 | Size: 20000000 | Payload: 1 | Time: 4.5521
Nodes: 8 | Threads: 32 | Size: 20000000 | Payload: 1 | Time: 4.5595
Nodes: 2 | Threads: 8 | Size: 40000000 | Payload: 1 | Time: 8.9181
Nodes: 4 | Threads: 8 | Size: 40000000 | Payload: 1 | Time: 9.0600
Nodes: 8 | Threads: 8 | Size: 40000000 | Payload: 1 | Time: 9.1534
Nodes: 2 | Threads: 16 | Size: 40000000 | Payload: 1 | Time: 9.0857
Nodes: 4 | Threads: 16 | Size: 40000000 | Payload: 1 | Time: 9.1544
Nodes: 8 | Threads: 16 | Size: 40000000 | Payload: 1 | Time: 9.2144
Nodes: 2 | Threads: 32 | Size: 40000000 | Payload: 1 | Time: 9.6084
Nodes: 4 | Threads: 32 | Size: 40000000 | Payload: 1 | Time: 9.3793
Nodes: 8 | Threads: 32 | Size: 40000000 | Payload: 1 | Time: 9.2775
Nodes: 2 | Threads: 8 | Size: 80000000 | Payload: 1 | Time: 18.0969
Nodes: 4 | Threads: 8 | Size: 80000000 | Payload: 1 | Time: 18.4316
Nodes: 8 | Threads: 8 | Size: 80000000 | Payload: 1 | Time: 18.5103
Nodes: 2 | Threads: 16 | Size: 80000000 | Payload: 1 | Time: 18.7009
